scene,target_low_num_gs,uncapped_num_gs,capped_num_gs,num_gs_diff_vs_target,num_gs_reduction_vs_uncapped,uncapped_psnr,capped_psnr,delta_psnr,uncapped_ssim,capped_ssim,delta_ssim,uncapped_lpips,capped_lpips,delta_lpips,uncapped_ellipse_time,capped_ellipse_time,delta_ellipse_time
buu,79423,91968,79283,-140,-12685,19.233976364135742,19.27581214904785,0.041835784912109375,0.8464831709861755,0.844588041305542,-0.001895129680633545,0.28177088499069214,0.28440722823143005,0.002636343240737915,0.0024536450703938804,0.002492030461629232,3.838539123535156e-05
sofa,39324,67585,39086,-238,-28499,19.534772872924805,19.48838996887207,-0.046382904052734375,0.8483778834342957,0.8496782779693604,0.0013003945350646973,0.21988166868686676,0.23386220633983612,0.01398053765296936,0.002557814121246338,0.002260148525238037,-0.0002976655960083008
