scene,low_opacity_lt0.1,over_exp_opacity_lt0.1,low_tiny_scale,over_exp_tiny_scale,delta_over_minus_low_opacity_lt0.1,delta_over_minus_low_tiny_scale
bike,0.6226260740659401,0.5420158645093367,0.06025750130397782,0.06644165973021972,-0.08061020955660336,0.006184158426241898
buu,0.5825516538030545,0.4776009046624913,0.022688641829193053,0.052333420320111346,-0.10495074914056324,0.029644778490918292
chair,0.6533146659878541,0.49967997773758177,0.003981962980472017,0.010333472473447429,-0.15363468825027238,0.006351509492975411
shrub,0.6443470940755914,0.5963168080235903,0.06799011763920321,0.1422876578975436,-0.0480302860520011,0.0742975402583404
sofa,0.5599888109042823,0.4331730413553303,0.043052588749872854,0.1300880372863801,-0.12681576954895202,0.08703544853650724
