covered_views,count,ratio
0,83064,0.9031837160751566
1,4874,0.05299669450243563
2,1761,0.01914796450939457
3,1695,0.018430323590814195
4,513,0.005578027139874739
5,22,0.00023921363952679193
6,20,0.0002174669450243563
7,19,0.00020659359777313848
