scene,importance_zero_count,importance_zero_ratio,nonzero_count,nonzero_ratio,nonzero_p10,nonzero_median,nonzero_p90,covered_views_zero_count,covered_views_zero_ratio,covered_views_max,tiny_importance_zero_ratio,normal_importance_zero_ratio
bike,4516,0.017164380489770165,258587,0.9828356195102298,0.04423295181544463,1.4148483814581345,34.525971435641715,4516,0.017164380489770165,36,0.022660944206008584,0.016773332030550262
buu,1811,0.019691631871955464,90157,0.9803083681280446,0.07549628858357267,3.2390269437588626,56.912385149884926,1811,0.019691631871955464,22,0.009767248545303408,0.020239570425444033
chair,1188,0.01101989703631557,106617,0.9889801029636844,0.12940197364408004,5.68905178544689,106.66788733210252,1188,0.01101989703631557,43,0.006289308176100629,0.01106924605406216
sofa,899,0.013301768143818895,66686,0.9866982318561811,0.09431048583616575,4.48847488500081,98.91036925196049,899,0.013301768143818895,29,0.008647172602116282,0.013997550853799579
