scene,boundary_area_ratio,interior_area_ratio,normal_area_ratio,over_boundary_event_ratio,over_interior_event_ratio,over_normal_event_ratio,low_boundary_event_ratio,low_interior_event_ratio,low_normal_event_ratio,enrichment_boundary,enrichment_interior,enrichment_normal,mean_delta_boundary,mean_delta_interior,mean_delta_normal,total_events_over,total_events_low
bike,0.02263886060891837,0.03519338141523689,0.9421677579758447,0.03778070583939552,0.047308385372161865,0.9149109125137329,0.08517594635486603,0.10858016461133957,0.806243896484375,0.4435607405169399,0.43570007046407827,1.1347818154074718,-1.938698172569275,-1.6323081254959106,0.5962759852409363,327257,241324
buu,0.002545197346564787,0.6026491485645087,0.39480565408892654,0.00979592464864254,0.644321620464325,0.34588247537612915,0.0060514225624501705,0.68357914686203,0.31036946177482605,1.6187804681542932,0.9425706202743066,1.114421739169261,1.2842105627059937,0.0936783105134964,0.15633609890937805,126277,103612
chair,0.042866481626354314,0.058925337305627296,0.8982081810680184,0.011490711010992527,0.013707689940929413,0.9748015999794006,0.019305428490042686,0.022075951099395752,0.9586186408996582,0.5952062145069291,0.6209331538746075,1.0168815401550662,0.054375000298023224,0.052105121314525604,0.4497312605381012,133064,56668
sofa,0.0001982574775218887,0.0,0.9998017425224781,0.00012430852802935988,0.0,0.9998756647109985,0.0002860652457457036,0.0,0.9997139573097229,0.43454606904560295,,1.0001617536697305,-0.13513512909412384,,0.19889703392982483,96534,59427
